Freq,S11_re,S11_im
1.050000000000000000e+01,3.694336678237378213e-01,-9.290704351079228651e-01
1.050999999999999979e+01,3.402081522788061307e-01,-9.401318664387835478e-01
1.051999999999999957e+01,3.095908605087028254e-01,-9.506089107456917597e-01
1.052999999999999936e+01,2.774934732897677003e-01,-9.604109244037765114e-01
1.053999999999999915e+01,2.438205951794239768e-01,-9.694324532037894571e-01
1.055000000000000071e+01,2.084693118969256354e-01,-9.775503731640768912e-01
1.056000000000000050e+01,1.713288244834148821e-01,-9.846203748956379176e-01
1.057000000000000028e+01,1.322802308300081997e-01,-9.904726157131672482e-01
1.058000000000000007e+01,9.119656555552943522e-02,-9.949063110785585362e-01
1.058999999999999986e+01,4.794327205799819858e-02,-9.976829680492431685e-01
1.059999999999999964e+01,2.379378794921471665e-03,-9.985178738627562556e-01
1.060999999999999943e+01,-4.564019381482867926e-02,-9.970693383316282521e-01
1.061999999999999922e+01,-9.626052573591981076e-02,-9.929250468424374310e-01
1.063000000000000078e+01,-1.496197320943608577e-01,-9.855847150027938763e-01
1.064000000000000057e+01,-2.058374681555787955e-01,-9.744380657024793724e-01
1.065000000000000036e+01,-2.649962521666319737e-01,-9.587370309577026850e-01
1.066000000000000014e+01,-3.271113986840107346e-01,-9.375611531382523900e-01
1.066999999999999993e+01,-3.920829156876268207e-01,-9.097757381435719326e-01
1.067999999999999972e+01,-4.596189869318442756e-01,-8.739840777906100477e-01
1.068999999999999950e+01,-5.291152384217345794e-01,-8.284794217745565792e-01
1.069999999999999929e+01,-5.994669425172853838e-01,-7.712121277402763653e-01
1.071000000000000085e+01,-6.687845876077691543e-01,-6.998076491849702929e-01
1.072000000000000064e+01,-7.339843485644410581e-01,-6.117097690917595587e-01
1.073000000000000043e+01,-7.902551863518225694e-01,-5.045890871409677292e-01
1.074000000000000021e+01,-8.305117522006625341e-01,-3.772424468673901132e-01
1.075000000000000000e+01,-8.452055448312792985e-01,-2.312438764102789091e-01
1.075999999999999979e+01,-8.233203111863194312e-01,-7.336153993370435333e-02
1.076999999999999957e+01,-7.557141950001899922e-01,8.217877069035312010e-02
1.077999999999999936e+01,-6.411006534688327152e-01,2.141378052520932773e-01
1.078999999999999915e+01,-4.917254088557615477e-01,3.004148254703799537e-01
1.080000000000000071e+01,-3.325504587459470196e-01,3.287281678316418265e-01
1.081000000000000050e+01,-1.912644315837421227e-01,3.038117411913300314e-01
1.082000000000000028e+01,-8.616845434903924739e-02,2.441128110372212390e-01
1.083000000000000007e+01,-2.148931709758624201e-02,1.714610225764176266e-01
1.083999999999999986e+01,8.958225931707190781e-03,1.026645542869933786e-01
1.084999999999999964e+01,1.552579669538316220e-02,4.694817294291323689e-02
1.085999999999999943e+01,8.296134051879278798e-03,7.321130819271426220e-03
1.086999999999999922e+01,-4.820275796576772159e-03,-1.703140580338689813e-02
1.088000000000000078e+01,-1.840308761736055357e-02,-2.880030578979974124e-02
1.089000000000000057e+01,-2.918852225701643738e-02,-3.132026188767993852e-02
1.090000000000000036e+01,-3.558364443058695953e-02,-2.788068194866992477e-02
1.091000000000000014e+01,-3.721268461969644975e-02,-2.136544600259308521e-02
1.091999999999999993e+01,-3.453477358969241073e-02,-1.407795540212795037e-02
1.092999999999999972e+01,-2.852699032071961960e-02,-7.675069594200388187e-03
1.093999999999999950e+01,-2.042194965162604306e-02,-3.173113845822766836e-03
1.094999999999999929e+01,-1.149509585229681503e-02,-1.006381089546983746e-03
1.096000000000000085e+01,-2.901529191095846092e-03,-1.123432214424762180e-03
1.097000000000000064e+01,4.437174427222566678e-03,-3.106811381033683893e-03
1.098000000000000043e+01,9.897989699085753962e-03,-6.301974359465852167e-03
1.099000000000000021e+01,1.317830900715146608e-02,-9.942897896184564946e-03
1.100000000000000000e+01,1.428204271878930065e-02,-1.326482746411686980e-02
1.100999999999999979e+01,1.347831263756997175e-02,-1.559802162325845537e-02
1.101999999999999957e+01,1.124078657370134945e-02,-1.643929277355382634e-02
1.102999999999999936e+01,8.174690512536669437e-03,-1.550017554176955949e-02
1.103999999999999915e+01,4.937441452913971830e-03,-1.273168937714380319e-02
1.105000000000000071e+01,2.158070303839419116e-03,-8.326226811991825280e-03
